Time (seconds),x0,x1,x2,x3,x4,x5
7.069,1186,1188,0,1202,1203,0
7.077,1187,1188,0,1208,1203,0
7.084,1187,1188,0,1205,1203,0
7.093,1194,1188,0,1200,1203,0
7.101,1186,1188,0,1203,1203,0
7.108,1184,1188,0,1208,1203,0
7.116,1185,1188,0,1204,1203,0
7.124,1184,1188,0,1204,1203,0
7.132,1183,1188,0,1202,1203,0
7.14,1190,1188,0,1209,1203,0
7.148,1185,1188,0,1202,1203,0
7.156,1186,1188,0,1207,1203,0
7.164,1192,1188,0,1208,1203,0
7.173,1184,1188,0,1210,1203,0
7.183,1185,1188,0,1207,1203,0
7.193,1189,1188,0,1203,1203,0
7.202,1191,1188,0,1203,1203,0
7.215,1188,1188,0,1199,1203,0
7.225,1185,1188,0,1204,1203,0
7.237,1182,1188,0,1201,1203,0
7.249,1186,1188,0,1204,1203,0
7.26,1193,1188,0,1209,1203,0
7.27,1186,1188,0,1213,1203,0
7.278,1186,1188,0,1203,1203,0
7.287,1187,1188,0,1200,1203,0
7.295,1184,1188,0,1208,1203,0
7.304,1187,1188,0,1204,1203,0
7.313,1184,1188,0,1201,1203,0
7.322,1187,1188,0,1211,1203,0
7.331,1181,1188,0,1201,1203,0
7.341,1185,1188,0,1203,1203,0
7.351,1185,1188,0,1202,1203,0
7.362,1189,1188,0,1202,1203,0
7.372,1186,1188,0,1204,1203,0
7.382,1195,1188,0,1208,1203,0
7.392,1190,1188,0,1205,1203,0
7.403,1184,1188,0,1203,1203,0
7.414,1185,1188,0,1199,1203,0
7.423,1185,1188,0,1205,1203,0
7.432,1186,1188,0,1200,1203,0
7.442,1188,1188,0,1200,1203,0
7.452,1186,1188,0,1203,1203,0
7.461,1183,1188,0,1202,1203,0
7.471,1189,1188,0,1204,1203,0
7.483,1183,1188,0,1203,1203,0
7.492,1185,1188,0,1202,1203,0
7.503,1187,1188,0,1205,1203,0
7.514,1182,1188,0,1200,1203,0
7.527,1188,1188,0,1199,1203,0
7.539,1181,1188,0,1205,1203,0
7.547,1188,1188,0,1206,1203,0
7.557,1188,1188,0,1205,1203,0
7.567,1183,1188,0,1204,1203,0
7.576,1186,1188,0,1208,1203,0
7.593,1188,1188,0,1205,1203,0
7.601,1189,1188,0,1207,1203,0
7.612,1186,1188,0,1205,1203,0
7.62,1187,1188,0,1201,1203,0
